track_id,track_name,artist_names,genres,valence,danceability,energy,mood,album_name,release_date,album_cover_640x640
2D7IOup92NwGifrEXV8Dxt,It Takes Two To Tango,['Louis Armstrong'],"new orleans jazz, lounge, adult standards, jazz trumpet, swing, harlem renaissance, soul, dixieland, vocal jazz",0.59,0.846,0.27,Neutral,Satchmo Sings,1955-01-01,https://i.scdn.co/image/ab67616d000048511eecf25ccdcb5f3b8ca4ceb6
2D8EIix8QDj2PSG2O3kx1J,You're Always On My Mind,['Sam Cooke'],"vocal jazz, classic soul, soul",0.6409999999999999,0.476,0.401,Upbeat,My Kind Of Blues,1961-10,https://i.scdn.co/image/ab67616d00004851a3cd828ded7e467777dd56bf
2D8hWnGqfqjnNv4jB12uds,Everybody's Jumpin',['The Dave Brubeck Quartet'],"jazz, bebop, jazz quartet",0.332,0.6409999999999999,0.175,Sad,Time Out,1959,https://i.scdn.co/image/ab67616d00004851fe2b2f8f198919925d9dd031
2D9LxUcR9zWxQtxiHsMA0n,N.W.O.,['Ministry'],"alternative metal, industrial metal, industrial, industrial rock, nu metal",0.4320000000000001,0.446,0.951,Neutral,KE*A*H** (Psalm 69),1992-07-10,https://i.scdn.co/image/ab67616d0000b27390edd2885a4865e0a4bf6f3c
2D9YnxyNwj7qqA1JLyKYPR,Spirit in the Night,['Bruce Springsteen'],"heartland rock, permanent wave, rock, singer-songwriter, mellow gold",0.615,0.493,0.723,Upbeat,"Greetings from Asbury Park, N.J.",1973-01-05,https://i.scdn.co/image/ab67616d000048514b7ddb366927d22d174b645c
2DAK09fP0bobALaArOEeCI,(What Did I Do to Be So) Black and Blue,['Louis Armstrong'],"new orleans jazz, lounge, adult standards, jazz trumpet, swing, harlem renaissance, soul, dixieland, vocal jazz",0.387,0.6809999999999999,0.188,Sad,Louis Armstrong: Portrait Of The Artist As A Young Man 1923-1934,1923,https://i.scdn.co/image/ab67616d000048515598ce5525a549231b44f0cf
2DAsLftcRKP3iarCPmI1RY,No Sé Tú,['Luis Miguel'],"latin pop, bolero",0.0888,0.389,0.443,Sad,Romance,1991-11-19,https://i.scdn.co/image/ab67616d0000b273d1cbd51f69cb9803ea603c66
2DDKmAGLySrPyg6smZ5Pzf,Clavelito - Instrumental (Remasterizado),['Francisco Canaro'],"orquesta tipica, tango, vintage tango",0.722,0.753,0.173,Upbeat,"Colección Completa, Vol. 4 (Remasterizado)",1927-08-16,https://i.scdn.co/image/ab67616d00004851eeee40c5cb7420680359c435
2DEDZ9l70eDchBpFUwaPeI,Caballo Negro,['Pérez Prado'],"mambo, space age pop, musica tradicional cubana",0.634,0.449,0.86,Upbeat,The Best Of Perez Prado: The Original Mambo #5,1949,https://i.scdn.co/image/ab67616d00004851bbba3121c90587fa632aa3fd
2DEEMhTiUMvkiHFdXkrKfI,Church Of The Poison Mind - Remastered 2002,['Culture Club'],"new wave pop, new romantic, new wave, synthpop, soft rock",0.96,0.597,0.902,Upbeat,Colour By Numbers (Remastered / Expanded Edition),1983-10-01,https://i.scdn.co/image/ab67616d0000b273c7d7cdad0c2ffa5620129ee8
2DEZmgHKAvm41k4J3R2E9Y,Safaera,"['Bad Bunny', 'Jowell & Randy', 'Ñengo Flow']","reggaeton, urbano latino, trap latino",0.685,0.607,0.8290000000000001,Upbeat,YHLQMDLG,2020-02-29,https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0
2DFRFqWNahKtFD112H2iEZ,Do You Realize??,['The Flaming Lips'],"alternative rock, noise pop, okc indie, chamber pop, indietronica, singer-songwriter, indie rock",0.547,0.464,0.797,Neutral,Yoshimi Battles the Pink Robots,2002-05-13,https://i.scdn.co/image/ab67616d0000b273ca69f52416a728ebd0b9103c
